1 1 0.482323
1 2 0.542575
1 3 0.639513
1 4 0.691826
1 5 0.749208
1 6 0.786646
1 7 0.863378
1 8 0.881036
1 9 0.891129
1 10 0.902040
1 11 0.873625
1 12 0.870748
1 13 0.839759
1 14 0.765599
1 15 0.730073
1 16 0.706904
1 17 0.635048
1 18 0.526040
1 19 0.454149
1 20 0.410276
1 21 0.320696
1 22 0.274007
1 23 0.254826
1 24 0.245559
1 25 0.226770
1 26 0.236584
1 27 0.236695
1 28 0.228799
1 29 0.293903
1 30 0.332824
1 31 0.369116
1 32 0.478301
1 33 0.516810
1 34 0.586518
1 35 0.636852
1 36 0.734472
1 37 0.782942
1 38 0.828245
1 39 0.851976
1 40 0.908044
1 41 0.904859
1 42 0.896397
1 43 0.881680
1 44 0.846923
